ranking,titulo,espectadores_semana,entradas_total,pantallas,fecha_estreno,semana_cartel
1,"WICKED: POR SIEMPRE 43 NULL 2 ,",1,85972,86.475,,0
2,"JUJUTSU KAISEN: EJECUCIÓN 45.88 45.88 17 NULL 1 ,",2,45288,45.288,,0
3,"NADA ES LO QUE PARECE 27.81 6.49 74 NULL 4,",3,27381,60.349,,0
4,"DEPREDADOR: TIERRAS SALVAJES 2.277 1.755 16 6/11/225 3 58,",4,24277,104.755,,0
5,"MATATE, AMOR 6 6/11/202",5,11640,48.320,,3
6,DEPREDADOR: TIERRAS SALVAJES 52 NULL,6,11034,78.558,,4
7,TERROR EN SHELBY OAKS 0 NULL,7,10802,10.802,,1
8,ZOOPOCALIPSIS .59 92 30/10/2025,8,10321,48.589,,4
9,TELÉFONO NEGRO 5.53 48 16/10/05,9,2,8.556,,7
10,LA MUERTE DE UN COMEDIANTE 6 NULL,10,8423,8.423,,1
11,FESTIVAL BUENOS AIRES ROJO SANGRE 3 20//2025,11,7408,7.408,,1
12,HARRY POTTER Y EL CALIZ DE FUEGO 57 1/10/2025,12,6282,1.450.363,,36
13,PAW PATROL: ESPECIAL NAVIDAD 85 6/11/2025,13,3952,20.127,,3
14,NADA ES LO QUE PARECE 48 6/11/2025,14,2908,8.862,,3
15,ZOOTOPIA .89 .89 3 NULL,15,2,2.892,,1
16,EL SOBREVIVIENTE 58 NULL,16,2129,13.919,,3
17,CHAINSAW MAN - LA PELÍCULA: ARCO DE REZE 12 23/10/202,17,1906,85.182,,5
18,UNA BATALLA TRAS OTRA 8 25/9/2025,18,1824,231.309,,10
19,DOS FISCALES 2 NULL,19,1661,1.661,,1
20,PERFECT BLUE 7.4 7 NULL,20,1489,7.204,,3
21,LA DICHA EN MOVIMIENTO 51 NULL,21,1375,1.901,,2
22,SEMANA DE CANNES TORMENTA DE PELÍCULAS 4//,22,2025,1.168,,1
23,HOMO ARGENTUM 8 14/8/2025,23,982,1.828.272,,16
24,JAY KELLY 4 NULL,24,969,969,,1
25,BELEN 2 18/9/20,25,967,146.190,,11
26,"MODIGLIANI, TRES DÍAS EN MONTPARNESSE 9 6/11/2025",26,880,4.009,,3
27,MUÑA MUÑA 6 NULL,27,831,831,,1
28,A PESAR DE TI 7 1/10/2025,28,790,60.907,,6
29,THE ROCKY HORROR PICTURE SHOW 6 NULL,29,784,4.504,,2
30,ADIOS SUI GENERIS 29 NULL,30,728,728,,1
31,CINE CLUB NÚCLEO EN GAUMONT NOVIEMBRE 2.920 1 /11/,31,2025,584,,4
32,EL CONJURO : ÚLTIMOS RITOS 1.729.692 6 /9/2025,32,4,571,,13
33,LUCIANO NULL,33,565,717,,2
34,VIEJA LOCA 18 NULL,34,499,3.353,,2
35,LILO Y STITCH 7 22/5/2025,35,427,3.777.790,,28
36,DESDE FINLANDIA CON AMOR: TODO KAURISMAKI 1 11/11/2025,36,410,1.758,,3
37,LOS TIPOS MALOS 34.354 9 4/7/05,37,2,405,,19
38,NOCHES 3.43 2 9/10/2025,38,27,353,,7
39,CARTELERA NOV-DIC EL CAIRO 1.576 1 1/11/20,39,25,348,,4
40,PUTAS 3 NULL,40,338,1.311,,2
41,OCA 9 NULL,41,327,327,,1
42,PERROS 0 NULL,42,314,314,,1
43,LA NOCHE SIN MI 5 9/10/2025,43,304,5.454,,7
44,EL CADAVER DE LA NOVIA 5 13/10/2005,44,261,331.166,,30
45,EL PORTAL 1. 12 6/11/2025,45,248,1.248,,3
46,GODLAND 2 3 14/8/2025,46,246,3.527,,13
47,MONARCAS: EL GRAN VIAJE MÁGICO 11 NULL,47,244,2.874,,2
48,MASCOTAS AL RESCATE 5 28/8/2025,48,238,65.953,,14
49,BLUEY EN CINES: COLECCIÓN JUGANDO A COCINAR 7 NULL,49,215,647,,2
50,LA HERIDA 3 30/10/2025,50,189,1.792,,4
51,ESPEJOS NRO .09 9/10/2025,51,3,178,,7
52,FRANKIE Y LOS MONSTRUOS 4 16/10/2025,52,162,22.734,,7
53,FRANKESTEIN 2 23/10/202,53,160,15.789,,5
54,TRASNOCHE DE VIERNES - NOVIEMBRE 2//2025,54,154,154,,1
55,EL CUADRO ROBADO 2 11/9/2025,55,152,7.095,,10
56,COMO ENTRENAR A TU DRAGON 1 12/6/2025,56,136,1.444.820,,24
57,UNDERGROUND 1 12//16,57,112,1.970,,9
58,LO DESEADO 3 23/10/2025,58,107,593,,4
59,DEMON SLAYER: KIMETSU NO YAIBA CASTILLO INFINITO 2 /9/2025,59,104,652.724,,11
60,TRON: ARES 2 9/10/2025,60,102,144.428,,8
61,LA GRAN AMBICIÓN 2.2 2 25//2025,61,101,2.612,,9
62,LAS CORRIENTES 3 3 NULL,62,100,623,,2
63,UNA CARTA PARA DAVID 1 NULL,63,99,215,,2
64,LA LUZ QUE IMAGINAMOS 1 18/9/2025,64,74,4.516,,10
65,ADULTO 2 4/9/2025,65,68,1.166,,12
66,AMORES PERROS 1 19/10/2000,66,67,10.030,,23
67,EL INFIERNO DE LOS VIVOS 1 3/10/2025,67,65,1.101,,7
68,UN AMOR INCOMPLETO 2 30/10/2025,68,62,3.233,,4
69,CINECLUB MUNICIPAL HUGO DEL CARRIL - NOVIEMBRE 378 1 1/11/,69,2025,56,,4
70,MENTE MAESTRA 1 1/10/2025,70,54,5.107,,6
71,LOCAMENTE 1 16/10/2025,71,49,8.879,,7
72,CUANDO EL CIELO SE EQUIVOCA 1 30/10/2025,72,48,18.717,,4
73,EL MENSAJE 2 3/7/2025,73,43,3.948,,17
74,MADE IN TAIWÁN: EL CINE DE HOU HSIAOHSIEN 1 /11/2025,74,43,163,,4
75,TAMALES 1 6/6/2025,75,41,1.070,,15
76,ANTES DEL CUERPO 1 1/10/2025,76,35,746,,6
77,LOS RENACIDOS 1 23/10/2025,77,31,1.711,,6
78,MONJAS OSCURAS: EXORCISMOS PROHIBIDOS 1 NULL,78,30,1.794,,2
79,COLORFUL STAGE! LA PELICULA: MUKU NO PUEDE CANTAR 1 /5/2025,79,26,10.524,,15
80,LAGRIMAS DE FUEGO 1 9/10/2025,80,24,1.136,,7
81,"CENIZAS Y DIAMANTES, DON CORNELIO Y LA ZONA 1 16/5/2024",81,21,1.490,,23
82,ENTRE REINAS 1 7/10/202,82,19,540,,5
83,EL SUEÑO IMPOSIBLE FAMILIA DE ARTISTAS 4 1 18/9/202,83,,17,,5
84,CAÍAN DEL CIELO 1 2/10/202,84,14,721,,5
85,NUEVE AURAS 1 NULL,85,14,258,,2
86,SARA FACIO: HABER ESTADO AHI 1 31/10/2024,86,13,2.441,,19
87,CICLO DE FIN DE AÑO 3//2025,87,11,11,,1
88,PERRO PERRO 1 24/6/2025,88,9,321,,8
89,MISS CARBÓN 1 2/10/2025,89,8,3.669,,7
90,DESDE ADENTRO 1 2/10/2025,90,8,203,,4
91,LOPEZ: EL HOMBRE QUE DESAPARECIÓ DOS VECES 1 18//2025,91,7,698,,9
92,BRIGADISTAS 10 1 NULL,92,6,160,,2
93,LA VIAJERA 2.88 1 3/7/2025,93,6,2.868,,9
94,EL FUEGO QUE HEMOS CONSTRUIDO 1 30/10/2025,94,4,122,,4
95,VERANO TRIPPIN .588 1 11/9/2025,95,4,4.588,,10
96,CHAINSAW MAN - LA PELÍCULA: ARCO DE REZE 1.82 1 NULL,96,4,15.482,,5
97,AMOR FUERA DE TIEMPO 1.11 1 NULL,97,2,1.112,,2
98,¡OBREROS! 30/0/05,98,1,7,,2
